(-128.0, -256.0, -16.0)
(-1024.0, -256.0, -16.0)
(-1024.0, 64.0, -16.0)
(-128.0, 64.0, -16.0)
(-1024.0, 64.0, 16.0)
(-128.0, -256.0, 16.0)
(-128.0, 64.0, 16.0)
(-1024.0, 64.0, 16.0)
(-1024.0, -256.0, 16.0)
(-128.0, -256.0, 16.0)
(-1024.0, 64.0, -16.0)
(-128.0, 64.0, 16.0)
(-128.0, 64.0, -16.0)
(-1024.0, 64.0, -16.0)
(-1024.0, 64.0, 16.0)
(-128.0, 64.0, 16.0)
(-128.0, -256.0, 16.0)
(-128.0, 64.0, -16.0)
(-128.0, 64.0, 16.0)
(-128.0, -256.0, 16.0)
(-128.0, -256.0, -16.0)
(-128.0, 64.0, -16.0)
(-192.0, -384.0, -16.0)
(-192.0, -320.0, 464.0)
(-192.0, -320.0, -16.0)
(-192.0, -384.0, -16.0)
(-192.0, -384.0, 464.0)
(-192.0, -320.0, 464.0)
(-192.0, -384.0, 464.0)
(-128.0, -384.0, -16.0)
(-128.0, -384.0, 464.0)
(-192.0, -384.0, 464.0)
(-192.0, -384.0, -16.0)
(-128.0, -384.0, -16.0)
(-192.0, -384.0, -16.0)
(-128.0, -320.0, -16.0)
(-128.0, -384.0, -16.0)
(-192.0, -384.0, -16.0)
(-192.0, -320.0, -16.0)
(-128.0, -320.0, -16.0)
(-192.0, -320.0, 464.0)
(-128.0, -384.0, 464.0)
(-128.0, -320.0, 464.0)
(-192.0, -320.0, 464.0)
(-192.0, -384.0, 464.0)
(-128.0, -384.0, 464.0)
(-192.0, -320.0, -16.0)
(-128.0, -320.0, 464.0)
(-128.0, -320.0, -16.0)
(-192.0, -320.0, -16.0)
(-192.0, -320.0, 464.0)
(-128.0, -320.0, 464.0)
(-128.0, -384.0, 464.0)
(-128.0, -320.0, -16.0)
(-128.0, -320.0, 464.0)
(-128.0, -384.0, 464.0)
(-128.0, -384.0, -16.0)
(-128.0, -320.0, -16.0)
(-192.0, 272.0, 16.0)
(-192.0, 336.0, 496.0)
(-192.0, 336.0, 16.0)
(-192.0, 272.0, 16.0)
(-192.0, 272.0, 496.0)
(-192.0, 336.0, 496.0)
(-192.0, 272.0, 496.0)
(-128.0, 272.0, 16.0)
(-128.0, 272.0, 496.0)
(-192.0, 272.0, 496.0)
(-192.0, 272.0, 16.0)
(-128.0, 272.0, 16.0)
(-192.0, 272.0, 16.0)
(-128.0, 336.0, 16.0)
(-128.0, 272.0, 16.0)
(-192.0, 272.0, 16.0)
(-192.0, 336.0, 16.0)
(-128.0, 336.0, 16.0)
(-192.0, 336.0, 496.0)
(-128.0, 272.0, 496.0)
(-128.0, 336.0, 496.0)
(-192.0, 336.0, 496.0)
(-192.0, 272.0, 496.0)
(-128.0, 272.0, 496.0)
(-192.0, 336.0, 16.0)
(-128.0, 336.0, 496.0)
(-128.0, 336.0, 16.0)
(-192.0, 336.0, 16.0)
(-192.0, 336.0, 496.0)
(-128.0, 336.0, 496.0)
(-128.0, 272.0, 496.0)
(-128.0, 336.0, 16.0)
(-128.0, 336.0, 496.0)
(-128.0, 272.0, 496.0)
(-128.0, 272.0, 16.0)
(-128.0, 336.0, 16.0)
(-1024.0, -256.0, 16.0)
(-1024.0, -192.0, 496.0)
(-1024.0, -192.0, 16.0)
(-1024.0, -256.0, 16.0)
(-1024.0, -256.0, 496.0)
(-1024.0, -192.0, 496.0)
(-1024.0, -256.0, 496.0)
(-960.0, -256.0, 16.0)
(-960.0, -256.0, 496.0)
(-1024.0, -256.0, 496.0)
(-1024.0, -256.0, 16.0)
(-960.0, -256.0, 16.0)
(-1024.0, -256.0, 16.0)
(-960.0, -192.0, 16.0)
(-960.0, -256.0, 16.0)
(-1024.0, -256.0, 16.0)
(-1024.0, -192.0, 16.0)
(-960.0, -192.0, 16.0)
(-1024.0, -192.0, 496.0)
(-960.0, -256.0, 496.0)
(-960.0, -192.0, 496.0)
(-1024.0, -192.0, 496.0)
(-1024.0, -256.0, 496.0)
(-960.0, -256.0, 496.0)
(-1024.0, -192.0, 16.0)
(-960.0, -192.0, 496.0)
(-960.0, -192.0, 16.0)
(-1024.0, -192.0, 16.0)
(-1024.0, -192.0, 496.0)
(-960.0, -192.0, 496.0)
(-960.0, -256.0, 496.0)
(-960.0, -192.0, 16.0)
(-960.0, -192.0, 496.0)
(-960.0, -256.0, 496.0)
(-960.0, -256.0, 16.0)
(-960.0, -192.0, 16.0)
(-1024.0, 0.0, 16.0)
(-1024.0, 64.0, 496.0)
(-1024.0, 64.0, 16.0)
(-1024.0, 0.0, 16.0)
(-1024.0, 0.0, 496.0)
(-1024.0, 64.0, 496.0)
(-1024.0, 0.0, 496.0)
(-960.0, -0.0, 16.0)
(-960.0, 0.0, 496.0)
(-1024.0, 0.0, 496.0)
(-1024.0, 0.0, 16.0)
(-960.0, -0.0, 16.0)
(-1024.0, 0.0, 16.0)
(-960.0, 64.0, 16.0)
(-960.0, -0.0, 16.0)
(-1024.0, 0.0, 16.0)
(-1024.0, 64.0, 16.0)
(-960.0, 64.0, 16.0)
(-1024.0, 64.0, 496.0)
(-960.0, 0.0, 496.0)
(-960.0, 64.0, 496.0)
(-1024.0, 64.0, 496.0)
(-1024.0, 0.0, 496.0)
(-960.0, 0.0, 496.0)
(-1024.0, 64.0, 16.0)
(-960.0, 64.0, 496.0)
(-960.0, 64.0, 16.0)
(-1024.0, 64.0, 16.0)
(-1024.0, 64.0, 496.0)
(-960.0, 64.0, 496.0)
(-960.0, 0.0, 496.0)
(-960.0, 64.0, 16.0)
(-960.0, 64.0, 496.0)
(-960.0, 0.0, 496.0)
(-960.0, -0.0, 16.0)
(-960.0, 64.0, 16.0)
